**chapter	**tool
ch01.2	cleave
ch01.2	context
ch01.2	humsed
ch01.2	key
ch01.2	melac
ch01.2	patt
ch01.2	pitch
ch01.2	recode
ch01.2	record
ch01.2	reihe
ch01.2	simil
ch01.2	tacet
ch01.2	trans
ch01.2	yank
ch01.5	egrep
ch01.5	extract
ch01.5	mint
ch01.5	yank
ch03.1	census
ch03.1	grep
ch03.2	grep
ch03.3	grep
ch03.4	grep
ch03.5	grep
ch03.5	sed
ch03.6	grep
ch03.6	sort
ch03.7	sort
ch03.7	uniq
ch03.8	grep
ch03.8	sort
ch03.8	uniq
ch03.9	census
ch03.9	grep
ch03.9	sort
ch03.9	uniq
ch04.1	pitch
ch04.2	tonh
ch04.8	solfa
ch04.9	cents
ch04.9	freq
ch04.9	midi
ch04.9	tonh
ch04.10	humsed
ch04.10	trans
ch04.11	deg
ch04.11	solfa
ch04.12	census
ch04.12	deg
ch04.12	grep
ch04.12	solfa
ch04.13	census
ch04.13	kern
ch04.13	uniq
ch05.9	humdrum
ch06.2	timebase
ch07.0	midi
ch07.0	perform
ch07.0	smf
ch07.0	tacet
ch07.1	grep
ch07.1	perform
ch07.1	smf
ch07.2	midi
ch07.2	perform
ch07.2	smf
ch07.3	midi
ch07.3	perform
ch07.4	midi
ch07.4	perform
ch07.5	perform
ch07.6	extract
ch07.6	patt
ch07.6	perform
ch07.6	tacet
ch07.6	yank
ch07.7	smf
ch07.8	midi
ch07.8	perform
ch07.8	smf
ch08.10	grep
ch08.10	pitch
ch08.10	recode
ch08.10	sort
ch08.10	trans
ch08.10	uniq
ch08.12	tee
ch09.0	grep
ch09.9	humsed
ch09.9	rend
ch09.9	rid
ch09.9	xdelta
ch09.9	yank
ch09.9	ydelta
ch09.10	egrep
ch09.10	grep
ch09.10	pattern
ch09.11	egrep
ch09.11	grep
ch10.1	grep
ch10.2	grep
ch10.2	solfa
ch10.3	grep
ch10.3	xargs
ch10.4	egrep
ch10.4	grep
ch10.5	find
ch10.5	grep
ch10.5	xargs
ch11.0	mint
ch11.0	xdelta
ch11.2	mint
ch11.4	cleave
ch11.4	humsed
ch11.4	mint
ch11.5	mint
ch11.6	mint
ch11.7	egrep
ch11.7	grep
ch11.7	mint
ch11.8	mint
ch11.8	xdelta
ch11.9	mint
ch11.9	xdelta
ch12.0	extract
ch12.0	yank
ch12.1	extract
ch12.2	extract
ch12.2	grep
ch12.3	census
ch12.3	extract
ch12.3	lpr
ch12.3	midi
ch12.3	ms
ch12.3	perform
ch12.3	trans
ch12.4	extract
ch12.4	humdrum
ch12.5	extract
ch12.6	extract
